region,lat,lng,nodos,golden
Region7,19.041511,-98.213931,1,25
Region7,19.04219,-98.224791,1,25
Region7,19.0438611,-98.2170556,1,100
Region9,19.044006,-98.1917111,1,50
Region7,19.0442389,-98.05585,1,25
Region8,19.044404,-98.18387,1,100
Region7,19.0450667,-98.1258,1,25
Region7,19.0450928,-98.1786372,2,25
Region9,19.045598,-98.249993,1,25
Vacio,19.046111,-98.227778,1,87
Region7,19.0469706,-98.2842836,1,25
Region6,19.04708,-98.24976,2,12
Region8,19.04735,-98.2059611,3,29
Region5,19.047466,-98.107161,1,100
Region7,19.047566,-98.227719,1,25
Region6,19.048715,-98.192517,1,75
Region7,19.0490944,-98.2138639,1,25
Region6,19.049422,-98.264133,1,12
Region8,19.050206,-98.208236,1,100
Region8,19.051511,-98.306219,2,81
Region5,19.0515278,-104.294,1,100
Region7,19.051689,-96.016575,2,100
Region5,19.0529806,-104.3207222,1,62
Region6,19.053667,-96.0325,1,12
Region7,19.05435,-98.19335,1,25
Region7,19.054475,-98.1595528,1,25
Region7,19.0549417,-98.2491639,1,25
Region7,19.0553089,-98.2264431,1,25
Region7,19.0558083,-98.1749778,1,25
Region6,19.056592,-98.180614,1,62
Region9,19.056731,-99.237483,1,25
Region7,19.0570811,-98.2081633,1,25
Region5,19.057954,-98.23246,2,62
Region7,19.058085,-98.26701,1,25
Region5,19.058307,-104.256136,1,62
Region5,19.05845,-98.25755,1,62
Region6,19.0593722,-98.1797611,1,12
Region8,19.0611917,-96.13325,3,100
Region9,19.062532,-98.322359,1,87
Region6,19.06283,-98.30869,1,12
Region7,19.0636639,-98.1983278,1,25
Region9,19.063667,-98.13,1,87
Region9,19.06485,-98.2142444,1,62
Region9,19.066819,-104.301855,1,50
Region7,19.0668972,-98.2146,1,25
Region8,19.067251,-96.099022,1,100
Region8,19.067444,-98.221,1,100
Region7,19.0675806,-98.1028694,1,25
Region8,19.069099,-98.311777,1,100
Region9,19.06915,-98.20592,1,87
Region5,19.07037,-104.280471,1,62
Region7,19.0716417,-98.2572833,1,25
Region7,19.0720056,-98.1859083,1,25
Region4,19.0721389,-103.7790556,2,12
Region4,19.07218,-103.77931,2,12
Region7,19.072673,-98.151065,1,25
Region7,19.0732556,-98.1301861,1,25
Region8,19.073825,-98.165495,1,100
